arc_model,baseline_set,N,budget_mps,horizon_days,baseline,candidate_count,overestimation_count,overestimation_rate,underestimation_count,underestimation_rate,excess_0_count,excess_1_count,excess_2_count,excess_ge3_count,max_excess,min_excess
v2_two_edge,v2_repaired,12,25,60,SPAN_CEIL_CAPPED,2000,1859,0.92949999999999999,0,0,141,541,747,571,6,0
v2_two_edge,v2_repaired,12,25,90,EQUAL_SECTOR,2000,1480,0.73999999999999999,0,0,520,849,491,140,4,0
v2_two_edge,v2_repaired,12,25,90,GAP_CUT,2000,0,0,0,0,2000,0,0,0,0,0
v2_two_edge,v2_repaired,12,25,90,LINEAR_MIN,2000,55,0.0275,0,0,1945,55,0,0,1,0
v2_two_edge,v2_repaired,12,25,90,SPAN_CEIL_CAPPED,2000,1968,0.98399999999999999,0,0,32,205,637,1126,6,0
v2_two_edge,v2_repaired,12,50,30,EQUAL_SECTOR,2000,1257,0.62849999999999995,0,0,743,843,352,62,4,0
v2_two_edge,v2_repaired,12,50,30,GAP_CUT,2000,0,0,0,0,2000,0,0,0,0,0
v2_two_edge,v2_repaired,12,50,30,LINEAR_MIN,2000,29,0.014500000000000001,0,0,1971,29,0,0,1,0
v2_two_edge,v2_repaired,12,50,30,SPAN_CEIL_CAPPED,2000,1859,0.92949999999999999,0,0,141,541,747,571,6,0
v2_two_edge,v2_repaired,12,50,60,EQUAL_SECTOR,2000,1624,0.81200000000000006,0,0,376,811,602,211,4,0
v2_two_edge,v2_repaired,12,50,60,GAP_CUT,2000,0,0,0,0,2000,0,0,0,0,0
v2_two_edge,v2_repaired,12,50,60,LINEAR_MIN,2000,88,0.043999999999999997,0,0,1912,88,0,0,1,0
v2_two_edge,v2_repaired,12,50,60,SPAN_CEIL_CAPPED,2000,1996,0.998,0,0,4,59,362,1575,7,0
v2_two_edge,v2_repaired,12,50,90,EQUAL_SECTOR,2000,1791,0.89549999999999996,0,0,209,681,732,378,5,0
v2_two_edge,v2_repaired,12,50,90,GAP_CUT,2000,0,0,0,0,2000,0,0,0,0,0
v2_two_edge,v2_repaired,12,50,90,LINEAR_MIN,2000,151,0.075499999999999998,0,0,1849,151,0,0,1,0
v2_two_edge,v2_repaired,12,50,90,SPAN_CEIL_CAPPED,2000,2000,1,0,0,0,4,47,1949,8,1
v2_two_edge,v2_repaired,12,75,30,EQUAL_SECTOR,2000,1300,0.65000000000000002,0,0,700,841,372,87,4,0
v2_two_edge,v2_repaired,12,75,30,GAP_CUT,2000,0,0,0,0,2000,0,0,0,0,0
v2_two_edge,v2_repaired,12,75,30,LINEAR_MIN,2000,29,0.014500000000000001,0,0,1971,29,0,0,1,0
v2_two_edge,v2_repaired,12,75,30,SPAN_CEIL_CAPPED,2000,1893,0.94650000000000001,0,0,107,459,766,668,6,0
v2_two_edge,v2_repaired,12,75,60,EQUAL_SECTOR,2000,1658,0.82899999999999996,0,0,342,781,604,273,5,0
v2_two_edge,v2_repaired,12,75,60,GAP_CUT,2000,0,0,0,0,2000,0,0,0,0,0
v2_two_edge,v2_repaired,12,75,60,LINEAR_MIN,2000,99,0.049500000000000002,0,0,1901,99,0,0,1,0
v2_two_edge,v2_repaired,12,75,60,SPAN_CEIL_CAPPED,2000,1998,0.999,0,0,2,38,260,1700,7,0
v2_two_edge,v2_repaired,12,75,90,EQUAL_SECTOR,2000,1788,0.89400000000000002,0,0,212,672,744,372,5,0
v2_two_edge,v2_repaired,12,75,90,GAP_CUT,2000,0,0,0,0,2000,0,0,0,0,0
v2_two_edge,v2_repaired,12,75,90,LINEAR_MIN,2000,176,0.087999999999999995,0,0,1824,176,0,0,1,0
v2_two_edge,v2_repaired,12,75,90,SPAN_CEIL_CAPPED,2000,2000,1,0,0,0,1,26,1973,8,1
