scope_boundary,N,budget_mps,horizon_days,evaluation_start_offset_sec,arc_model,K_allowed,K_max,n_feasible,frontier_P95_primary_min,winner_Max_gap_min,winner_K_min
evaluated_candidate_set_only_arc_conditioned_pools,12,25,90,842400,v2_two_edge,11,12,2662,41,182,8
evaluated_candidate_set_only_arc_conditioned_pools,12,25,90,842400,v2_two_edge,12,12,3000,41,182,8
evaluated_candidate_set_only_arc_conditioned_pools,12,25,90,1447200,v2_two_edge,1,12,0,,,
evaluated_candidate_set_only_arc_conditioned_pools,12,25,90,1447200,v2_two_edge,2,12,255,335,377,2
evaluated_candidate_set_only_arc_conditioned_pools,12,25,90,1447200,v2_two_edge,3,12,307,125,198,3
evaluated_candidate_set_only_arc_conditioned_pools,12,25,90,1447200,v2_two_edge,4,12,580,42,174,4
evaluated_candidate_set_only_arc_conditioned_pools,12,25,90,1447200,v2_two_edge,5,12,759,40,199,5
evaluated_candidate_set_only_arc_conditioned_pools,12,25,90,1447200,v2_two_edge,6,12,1042,40,199,5
evaluated_candidate_set_only_arc_conditioned_pools,12,25,90,1447200,v2_two_edge,7,12,1354,40,199,5
evaluated_candidate_set_only_arc_conditioned_pools,12,25,90,1447200,v2_two_edge,8,12,1679,40,199,5
evaluated_candidate_set_only_arc_conditioned_pools,12,25,90,1447200,v2_two_edge,9,12,1999,40,199,5
evaluated_candidate_set_only_arc_conditioned_pools,12,25,90,1447200,v2_two_edge,10,12,2347,40,199,5
evaluated_candidate_set_only_arc_conditioned_pools,12,25,90,1447200,v2_two_edge,11,12,2662,40,199,5
evaluated_candidate_set_only_arc_conditioned_pools,12,25,90,1447200,v2_two_edge,12,12,3000,40,199,5
evaluated_candidate_set_only_arc_conditioned_pools,12,50,30,842400,v2_two_edge,1,12,0,,,
evaluated_candidate_set_only_arc_conditioned_pools,12,50,30,842400,v2_two_edge,2,12,29,558,581,2
evaluated_candidate_set_only_arc_conditioned_pools,12,50,30,842400,v2_two_edge,3,12,255,327,362,3
evaluated_candidate_set_only_arc_conditioned_pools,12,50,30,842400,v2_two_edge,4,12,387,42,199,4
evaluated_candidate_set_only_arc_conditioned_pools,12,50,30,842400,v2_two_edge,5,12,549,42,199,4
evaluated_candidate_set_only_arc_conditioned_pools,12,50,30,842400,v2_two_edge,6,12,771,42,167,6
evaluated_candidate_set_only_arc_conditioned_pools,12,50,30,842400,v2_two_edge,7,12,1036,41,208,7
evaluated_candidate_set_only_arc_conditioned_pools,12,50,30,842400,v2_two_edge,8,12,1361,41,182,8
evaluated_candidate_set_only_arc_conditioned_pools,12,50,30,842400,v2_two_edge,9,12,1719,41,182,8
evaluated_candidate_set_only_arc_conditioned_pools,12,50,30,842400,v2_two_edge,10,12,2111,41,182,8
evaluated_candidate_set_only_arc_conditioned_pools,12,50,30,842400,v2_two_edge,11,12,2558,41,182,8
evaluated_candidate_set_only_arc_conditioned_pools,12,50,30,842400,v2_two_edge,12,12,3000,41,182,8
evaluated_candidate_set_only_arc_conditioned_pools,12,50,30,1447200,v2_two_edge,1,12,0,,,
evaluated_candidate_set_only_arc_conditioned_pools,12,50,30,1447200,v2_two_edge,2,12,29,555,556,2
evaluated_candidate_set_only_arc_conditioned_pools,12,50,30,1447200,v2_two_edge,3,12,255,335,377,3
evaluated_candidate_set_only_arc_conditioned_pools,12,50,30,1447200,v2_two_edge,4,12,387,42,199,4
evaluated_candidate_set_only_arc_conditioned_pools,12,50,30,1447200,v2_two_edge,5,12,549,40,199,5
evaluated_candidate_set_only_arc_conditioned_pools,12,50,30,1447200,v2_two_edge,6,12,771,40,199,5
evaluated_candidate_set_only_arc_conditioned_pools,12,50,30,1447200,v2_two_edge,7,12,1036,40,199,5
evaluated_candidate_set_only_arc_conditioned_pools,12,50,30,1447200,v2_two_edge,8,12,1361,40,199,5
evaluated_candidate_set_only_arc_conditioned_pools,12,50,30,1447200,v2_two_edge,9,12,1719,40,199,5
evaluated_candidate_set_only_arc_conditioned_pools,12,50,30,1447200,v2_two_edge,10,12,2111,40,199,5
evaluated_candidate_set_only_arc_conditioned_pools,12,50,30,1447200,v2_two_edge,11,12,2558,40,199,5
evaluated_candidate_set_only_arc_conditioned_pools,12,50,30,1447200,v2_two_edge,12,12,3000,40,199,5
evaluated_candidate_set_only_arc_conditioned_pools,12,50,60,842400,v2_two_edge,1,12,7,614,647,1
evaluated_candidate_set_only_arc_conditioned_pools,12,50,60,842400,v2_two_edge,2,12,284,311,361,2
evaluated_candidate_set_only_arc_conditioned_pools,12,50,60,842400,v2_two_edge,3,12,437,120,176,3
evaluated_candidate_set_only_arc_conditioned_pools,12,50,60,842400,v2_two_edge,4,12,732,42,167,4
evaluated_candidate_set_only_arc_conditioned_pools,12,50,60,842400,v2_two_edge,5,12,1002,41,199,5
evaluated_candidate_set_only_arc_conditioned_pools,12,50,60,842400,v2_two_edge,6,12,1291,41,199,5
evaluated_candidate_set_only_arc_conditioned_pools,12,50,60,842400,v2_two_edge,7,12,1578,41,199,5
evaluated_candidate_set_only_arc_conditioned_pools,12,50,60,842400,v2_two_edge,8,12,1870,41,182,8
evaluated_candidate_set_only_arc_conditioned_pools,12,50,60,842400,v2_two_edge,9,12,2154,41,182,8
evaluated_candidate_set_only_arc_conditioned_pools,12,50,60,842400,v2_two_edge,10,12,2441,41,182,8
evaluated_candidate_set_only_arc_conditioned_pools,12,50,60,842400,v2_two_edge,11,12,2719,41,182,8
evaluated_candidate_set_only_arc_conditioned_pools,12,50,60,842400,v2_two_edge,12,12,3000,41,182,8
evaluated_candidate_set_only_arc_conditioned_pools,12,50,60,1447200,v2_two_edge,1,12,7,651,681,1
evaluated_candidate_set_only_arc_conditioned_pools,12,50,60,1447200,v2_two_edge,2,12,284,312,361,2
evaluated_candidate_set_only_arc_conditioned_pools,12,50,60,1447200,v2_two_edge,3,12,437,100,176,3
evaluated_candidate_set_only_arc_conditioned_pools,12,50,60,1447200,v2_two_edge,4,12,732,40,199,4
evaluated_candidate_set_only_arc_conditioned_pools,12,50,60,1447200,v2_two_edge,5,12,1002,40,199,4
evaluated_candidate_set_only_arc_conditioned_pools,12,50,60,1447200,v2_two_edge,6,12,1291,40,199,4
evaluated_candidate_set_only_arc_conditioned_pools,12,50,60,1447200,v2_two_edge,7,12,1578,40,199,4
evaluated_candidate_set_only_arc_conditioned_pools,12,50,60,1447200,v2_two_edge,8,12,1870,40,199,4
evaluated_candidate_set_only_arc_conditioned_pools,12,50,60,1447200,v2_two_edge,9,12,2154,40,199,4
evaluated_candidate_set_only_arc_conditioned_pools,12,50,60,1447200,v2_two_edge,10,12,2441,40,199,4
evaluated_candidate_set_only_arc_conditioned_pools,12,50,60,1447200,v2_two_edge,11,12,2719,40,199,4
evaluated_candidate_set_only_arc_conditioned_pools,12,50,60,1447200,v2_two_edge,12,12,3000,40,199,4
evaluated_candidate_set_only_arc_conditioned_pools,12,50,90,842400,v2_two_edge,1,12,249,540,567,1
evaluated_candidate_set_only_arc_conditioned_pools,12,50,90,842400,v2_two_edge,2,12,502,295,345,2
evaluated_candidate_set_only_arc_conditioned_pools,12,50,90,842400,v2_two_edge,3,12,756,97,199,3
evaluated_candidate_set_only_arc_conditioned_pools,12,50,90,842400,v2_two_edge,4,12,1007,41,182,4
evaluated_candidate_set_only_arc_conditioned_pools,12,50,90,842400,v2_two_edge,5,12,1256,41,182,4
evaluated_candidate_set_only_arc_conditioned_pools,12,50,90,842400,v2_two_edge,6,12,1505,41,182,4
evaluated_candidate_set_only_arc_conditioned_pools,12,50,90,842400,v2_two_edge,7,12,1755,41,182,4
evaluated_candidate_set_only_arc_conditioned_pools,12,50,90,842400,v2_two_edge,8,12,2005,41,182,4
evaluated_candidate_set_only_arc_conditioned_pools,12,50,90,842400,v2_two_edge,9,12,2281,41,182,4
evaluated_candidate_set_only_arc_conditioned_pools,12,50,90,842400,v2_two_edge,10,12,2637,41,182,4
evaluated_candidate_set_only_arc_conditioned_pools,12,50,90,842400,v2_two_edge,11,12,2926,41,182,4
evaluated_candidate_set_only_arc_conditioned_pools,12,50,90,842400,v2_two_edge,12,12,3000,41,182,4
evaluated_candidate_set_only_arc_conditioned_pools,12,50,90,1447200,v2_two_edge,1,12,249,549,574,1
evaluated_candidate_set_only_arc_conditioned_pools,12,50,90,1447200,v2_two_edge,2,12,502,296,330,2
evaluated_candidate_set_only_arc_conditioned_pools,12,50,90,1447200,v2_two_edge,3,12,756,97,176,3
evaluated_candidate_set_only_arc_conditioned_pools,12,50,90,1447200,v2_two_edge,4,12,1007,40,199,4
evaluated_candidate_set_only_arc_conditioned_pools,12,50,90,1447200,v2_two_edge,5,12,1256,40,199,4
evaluated_candidate_set_only_arc_conditioned_pools,12,50,90,1447200,v2_two_edge,6,12,1505,40,199,4
evaluated_candidate_set_only_arc_conditioned_pools,12,50,90,1447200,v2_two_edge,7,12,1755,40,199,4
evaluated_candidate_set_only_arc_conditioned_pools,12,50,90,1447200,v2_two_edge,8,12,2005,40,199,4
evaluated_candidate_set_only_arc_conditioned_pools,12,50,90,1447200,v2_two_edge,9,12,2281,40,199,4
evaluated_candidate_set_only_arc_conditioned_pools,12,50,90,1447200,v2_two_edge,10,12,2637,40,199,4
evaluated_candidate_set_only_arc_conditioned_pools,12,50,90,1447200,v2_two_edge,11,12,2926,40,199,4
evaluated_candidate_set_only_arc_conditioned_pools,12,50,90,1447200,v2_two_edge,12,12,3000,40,199,4
evaluated_candidate_set_only_arc_conditioned_pools,12,75,30,842400,v2_two_edge,1,12,0,,,
evaluated_candidate_set_only_arc_conditioned_pools,12,75,30,842400,v2_two_edge,2,12,66,546,602,2
evaluated_candidate_set_only_arc_conditioned_pools,12,75,30,842400,v2_two_edge,3,12,262,126,193,3
evaluated_candidate_set_only_arc_conditioned_pools,12,75,30,842400,v2_two_edge,4,12,433,42,199,4
evaluated_candidate_set_only_arc_conditioned_pools,12,75,30,842400,v2_two_edge,5,12,612,42,167,5
evaluated_candidate_set_only_arc_conditioned_pools,12,75,30,842400,v2_two_edge,6,12,842,42,167,5
evaluated_candidate_set_only_arc_conditioned_pools,12,75,30,842400,v2_two_edge,7,12,1107,41,199,7
evaluated_candidate_set_only_arc_conditioned_pools,12,75,30,842400,v2_two_edge,8,12,1425,41,182,8
evaluated_candidate_set_only_arc_conditioned_pools,12,75,30,842400,v2_two_edge,9,12,1799,41,182,8
evaluated_candidate_set_only_arc_conditioned_pools,12,75,30,842400,v2_two_edge,10,12,2177,41,182,8
evaluated_candidate_set_only_arc_conditioned_pools,12,75,30,842400,v2_two_edge,11,12,2581,41,182,8
evaluated_candidate_set_only_arc_conditioned_pools,12,75,30,842400,v2_two_edge,12,12,3000,41,182,8
evaluated_candidate_set_only_arc_conditioned_pools,12,75,30,1447200,v2_two_edge,1,12,0,,,
evaluated_candidate_set_only_arc_conditioned_pools,12,75,30,1447200,v2_two_edge,2,12,66,549,574,2
evaluated_candidate_set_only_arc_conditioned_pools,12,75,30,1447200,v2_two_edge,3,12,262,126,194,3
evaluated_candidate_set_only_arc_conditioned_pools,12,75,30,1447200,v2_two_edge,4,12,433,42,199,4
evaluated_candidate_set_only_arc_conditioned_pools,12,75,30,1447200,v2_two_edge,5,12,612,40,199,5
evaluated_candidate_set_only_arc_conditioned_pools,12,75,30,1447200,v2_two_edge,6,12,842,40,199,5
evaluated_candidate_set_only_arc_conditioned_pools,12,75,30,1447200,v2_two_edge,7,12,1107,40,199,5
evaluated_candidate_set_only_arc_conditioned_pools,12,75,30,1447200,v2_two_edge,8,12,1425,40,199,5
evaluated_candidate_set_only_arc_conditioned_pools,12,75,30,1447200,v2_two_edge,9,12,1799,40,199,5
evaluated_candidate_set_only_arc_conditioned_pools,12,75,30,1447200,v2_two_edge,10,12,2177,40,199,5
evaluated_candidate_set_only_arc_conditioned_pools,12,75,30,1447200,v2_two_edge,11,12,2581,40,199,5
evaluated_candidate_set_only_arc_conditioned_pools,12,75,30,1447200,v2_two_edge,12,12,3000,40,199,5
evaluated_candidate_set_only_arc_conditioned_pools,12,75,60,842400,v2_two_edge,1,12,25,558,581,1
evaluated_candidate_set_only_arc_conditioned_pools,12,75,60,842400,v2_two_edge,2,12,313,295,361,2
evaluated_candidate_set_only_arc_conditioned_pools,12,75,60,842400,v2_two_edge,3,12,516,103,176,3
evaluated_candidate_set_only_arc_conditioned_pools,12,75,60,842400,v2_two_edge,4,12,813,41,199,4
evaluated_candidate_set_only_arc_conditioned_pools,12,75,60,842400,v2_two_edge,5,12,1086,41,199,4
evaluated_candidate_set_only_arc_conditioned_pools,12,75,60,842400,v2_two_edge,6,12,1376,41,182,6
evaluated_candidate_set_only_arc_conditioned_pools,12,75,60,842400,v2_two_edge,7,12,1641,41,182,6
evaluated_candidate_set_only_arc_conditioned_pools,12,75,60,842400,v2_two_edge,8,12,1923,41,182,6
evaluated_candidate_set_only_arc_conditioned_pools,12,75,60,842400,v2_two_edge,9,12,2189,41,182,6
evaluated_candidate_set_only_arc_conditioned_pools,12,75,60,842400,v2_two_edge,10,12,2467,41,182,6
evaluated_candidate_set_only_arc_conditioned_pools,12,75,60,842400,v2_two_edge,11,12,2752,41,182,6
evaluated_candidate_set_only_arc_conditioned_pools,12,75,60,842400,v2_two_edge,12,12,3000,41,182,6
evaluated_candidate_set_only_arc_conditioned_pools,12,75,60,1447200,v2_two_edge,1,12,25,586,594,1
evaluated_candidate_set_only_arc_conditioned_pools,12,75,60,1447200,v2_two_edge,2,12,313,296,361,2
evaluated_candidate_set_only_arc_conditioned_pools,12,75,60,1447200,v2_two_edge,3,12,516,100,176,3
evaluated_candidate_set_only_arc_conditioned_pools,12,75,60,1447200,v2_two_edge,4,12,813,40,199,4
evaluated_candidate_set_only_arc_conditioned_pools,12,75,60,1447200,v2_two_edge,5,12,1086,40,199,4
evaluated_candidate_set_only_arc_conditioned_pools,12,75,60,1447200,v2_two_edge,6,12,1376,40,199,4
evaluated_candidate_set_only_arc_conditioned_pools,12,75,60,1447200,v2_two_edge,7,12,1641,40,199,4
evaluated_candidate_set_only_arc_conditioned_pools,12,75,60,1447200,v2_two_edge,8,12,1923,40,199,4
evaluated_candidate_set_only_arc_conditioned_pools,12,75,60,1447200,v2_two_edge,9,12,2189,40,199,4
evaluated_candidate_set_only_arc_conditioned_pools,12,75,60,1447200,v2_two_edge,10,12,2467,40,199,4
