arc_model,baseline_set,N,budget_mps,horizon_days,baseline,candidate_count,overestimation_count,overestimation_rate,underestimation_count,underestimation_rate,excess_0_count,excess_1_count,excess_2_count,excess_ge3_count,max_excess,min_excess
v2_two_edge,v2_repaired,24,25,60,SPAN_CEIL_CAPPED,3000,2873,0.95766666666666667,0,0,127,32,140,2701,20,0
v2_two_edge,v2_repaired,24,25,90,EQUAL_SECTOR,3000,2926,0.97533333333333339,0,0,74,447,678,1801,9,0
v2_two_edge,v2_repaired,24,25,90,GAP_CUT,3000,0,0,0,0,3000,0,0,0,0,0
v2_two_edge,v2_repaired,24,25,90,LINEAR_MIN,3000,237,0.079000000000000001,0,0,2763,237,0,0,1,0
v2_two_edge,v2_repaired,24,25,90,SPAN_CEIL_CAPPED,3000,2879,0.95966666666666667,0,0,121,5,3,2871,19,0
v2_two_edge,v2_repaired,24,50,30,EQUAL_SECTOR,3000,2834,0.94466666666666665,0,0,166,673,790,1371,8,0
v2_two_edge,v2_repaired,24,50,30,GAP_CUT,3000,0,0,0,0,3000,0,0,0,0,0
v2_two_edge,v2_repaired,24,50,30,LINEAR_MIN,3000,128,0.042666666666666665,0,0,2872,128,0,0,1,0
v2_two_edge,v2_repaired,24,50,30,SPAN_CEIL_CAPPED,3000,2873,0.95766666666666667,0,0,127,32,140,2701,20,0
v2_two_edge,v2_repaired,24,50,60,EQUAL_SECTOR,3000,2834,0.94466666666666665,0,0,166,405,443,1986,9,0
v2_two_edge,v2_repaired,24,50,60,GAP_CUT,3000,0,0,0,0,3000,0,0,0,0,0
v2_two_edge,v2_repaired,24,50,60,LINEAR_MIN,3000,314,0.10466666666666667,0,0,2686,314,0,0,1,0
v2_two_edge,v2_repaired,24,50,60,SPAN_CEIL_CAPPED,3000,2874,0.95799999999999996,0,0,126,0,0,2874,19,0
v2_two_edge,v2_repaired,24,50,90,EQUAL_SECTOR,3000,2966,0.98866666666666669,0,0,34,224,411,2331,9,0
v2_two_edge,v2_repaired,24,50,90,GAP_CUT,3000,0,0,0,0,3000,0,0,0,0,0
v2_two_edge,v2_repaired,24,50,90,LINEAR_MIN,3000,525,0.17499999999999999,0,0,2475,525,0,0,1,0
v2_two_edge,v2_repaired,24,50,90,SPAN_CEIL_CAPPED,3000,2874,0.95799999999999996,0,0,126,0,1,2873,12,0
v2_two_edge,v2_repaired,24,75,30,EQUAL_SECTOR,3000,2817,0.93899999999999995,0,0,183,597,776,1444,8,0
v2_two_edge,v2_repaired,24,75,30,GAP_CUT,3000,0,0,0,0,3000,0,0,0,0,0
v2_two_edge,v2_repaired,24,75,30,LINEAR_MIN,3000,151,0.050333333333333334,0,0,2849,151,0,0,1,0
v2_two_edge,v2_repaired,24,75,30,SPAN_CEIL_CAPPED,3000,2873,0.95766666666666667,0,0,127,12,85,2776,20,0
v2_two_edge,v2_repaired,24,75,60,EQUAL_SECTOR,3000,2808,0.93600000000000005,0,0,192,272,432,2104,9,0
v2_two_edge,v2_repaired,24,75,60,GAP_CUT,3000,0,0,0,0,3000,0,0,0,0,0
v2_two_edge,v2_repaired,24,75,60,LINEAR_MIN,3000,355,0.11833333333333333,0,0,2645,355,0,0,1,0
v2_two_edge,v2_repaired,24,75,60,SPAN_CEIL_CAPPED,3000,2874,0.95799999999999996,0,0,126,0,0,2874,17,0
v2_two_edge,v2_repaired,24,75,90,EQUAL_SECTOR,3000,2918,0.97266666666666668,0,0,82,208,447,2263,9,0
v2_two_edge,v2_repaired,24,75,90,GAP_CUT,3000,0,0,0,0,3000,0,0,0,0,0
v2_two_edge,v2_repaired,24,75,90,LINEAR_MIN,3000,554,0.18466666666666667,0,0,2446,554,0,0,1,0
v2_two_edge,v2_repaired,24,75,90,SPAN_CEIL_CAPPED,3000,2874,0.95799999999999996,0,0,126,0,1,2873,11,0
