scope_boundary,N,budget_mps,horizon_days,evaluation_start_offset_sec,arc_model,K_allowed,K_max,n_feasible,frontier_P95_primary_min,previous_frontier_P95_primary_min,delta_P95_min,is_max_improvement_K,max_improvement_K,max_improvement_delta_P95_min
evaluated_candidate_set_only_arc_conditioned_pools,12,25,90,842400,v2_two_edge,4,12,580,42,121,79,false,3,206
evaluated_candidate_set_only_arc_conditioned_pools,12,25,90,842400,v2_two_edge,5,12,759,41,42,1,false,3,206
evaluated_candidate_set_only_arc_conditioned_pools,12,25,90,842400,v2_two_edge,6,12,1042,41,41,0,false,3,206
evaluated_candidate_set_only_arc_conditioned_pools,12,25,90,842400,v2_two_edge,7,12,1354,41,41,0,false,3,206
evaluated_candidate_set_only_arc_conditioned_pools,12,25,90,842400,v2_two_edge,8,12,1679,41,41,0,false,3,206
evaluated_candidate_set_only_arc_conditioned_pools,12,25,90,842400,v2_two_edge,9,12,1999,41,41,0,false,3,206
evaluated_candidate_set_only_arc_conditioned_pools,12,25,90,842400,v2_two_edge,10,12,2347,41,41,0,false,3,206
evaluated_candidate_set_only_arc_conditioned_pools,12,25,90,842400,v2_two_edge,11,12,2662,41,41,0,false,3,206
evaluated_candidate_set_only_arc_conditioned_pools,12,25,90,842400,v2_two_edge,12,12,3000,41,41,0,false,3,206
evaluated_candidate_set_only_arc_conditioned_pools,12,25,90,1447200,v2_two_edge,1,12,0,,,,false,3,210
evaluated_candidate_set_only_arc_conditioned_pools,12,25,90,1447200,v2_two_edge,2,12,255,335,,,false,3,210
evaluated_candidate_set_only_arc_conditioned_pools,12,25,90,1447200,v2_two_edge,3,12,307,125,335,210,true,3,210
evaluated_candidate_set_only_arc_conditioned_pools,12,25,90,1447200,v2_two_edge,4,12,580,42,125,83,false,3,210
evaluated_candidate_set_only_arc_conditioned_pools,12,25,90,1447200,v2_two_edge,5,12,759,40,42,2,false,3,210
evaluated_candidate_set_only_arc_conditioned_pools,12,25,90,1447200,v2_two_edge,6,12,1042,40,40,0,false,3,210
evaluated_candidate_set_only_arc_conditioned_pools,12,25,90,1447200,v2_two_edge,7,12,1354,40,40,0,false,3,210
